자치구,위도,경도
종로구,37.57579422,126.9714508
종로구,37.57594681,126.9740601
종로구,37.57176971,126.9746628
종로구,37.57255936,126.9783325
종로구,37.56999969,126.9710999
종로구,37.56996918,126.973938
종로구,37.56996155,126.9761581
종로구,37.5797081,126.9808579
종로구,37.57039642,126.9817886
종로구,37.57624054,126.9861603
종로구,37.57335663,126.9874649
종로구,37.57039642,126.9881897
종로구,37.56848526,126.9878845
종로구,37.5705986,126.9917908
종로구,37.57019806,126.9912567
종로구,37.57897949,126.9964752
종로구,37.57095718,126.9971237
종로구,37.57106781,126.9981918
종로구,37.58562851,127.000679
종로구,37.58156967,127.0017853
종로구,37.57978439,127.002533
종로구,37.57561111,127.0046997
종로구,37.57403564,127.0067215
종로구,37.57330704,127.0007095
종로구,37.57202911,126.9607849
종로구,37.57633209,126.9685898
종로구,37.58507919,126.9706192
종로구,37.58341599,126.9852371
종로구,37.57938766,126.9849472
종로구,37.57915497,126.9889603
종로구,37.57650757,127.0024567
종로구,37.57714462,127.0020599
종로구,37.58250046,126.9985352
종로구,37.57606125,126.9976807
종로구,37.57324219,127.0159073
종로구,37.57222366,127.0227051
종로구,37.57559204,127.02285
종로구,37.57933426,127.0150833
종로구,37.57384872,126.9586945
종로구,37.5692482,126.9805374
종로구,37.57549286,126.9785004
종로구,37.56983566,126.9826584
종로구,37.58573532,127.0016098
종로구,37.57014084,127.0093765
종로구,37.56748962,126.9659195
종로구,37.56885529,126.9645615
종로구,37.57048035,126.9966354
종로구,37.60012817,126.9578323
종로구,37.60399246,126.9619446
종로구,37.60871887,126.9728622
종로구,37.58360291,126.9725494
종로구,37.58351517,126.9796677
종로구,37.57123947,127.0044098
종로구,37.57114029,127.0006714
종로구,37.57035828,126.9863815
종로구,37.570961,127.0060577
종로구,37.57447052,127.0198288
종로구,37.57131958,127.0072098
종로구,37.56989288,126.9775696
종로구,37.57436371,126.9723663
종로구,37.60351181,126.9620667
종로구,37.58419037,126.9816971
종로구,37.58760452,126.9835968
종로구,37.60627365,126.9683228
종로구,37.57376099,127.0139389
종로구,37.57660675,127.0055695
종로구,37.5695076,126.9670105
종로구,37.57185364,127.0023575
종로구,37.57455063,126.9705505
종로구,37.57580566,126.9833908
종로구,37.57051086,126.9833679
종로구,37.5724678,126.99189
종로구,37.5707016,126.994812
종로구,37.5703125,126.994545
종로구,37.57320023,126.997963
종로구,37.57117462,127.0022278
종로구,37.57146072,127.010788
종로구,37.5715332,127.0156174
종로구,37.57772446,127.0152512
종로구,37.57998657,127.0150604
종로구,37.58194733,126.9973679
종로구,37.58327484,126.9988556
종로구,37.58385468,127.0018539
종로구,37.58479691,126.9971314
종로구,37.57583618,127.0006943
종로구,37.57529068,126.968956
종로구,37.57501602,126.95755
종로구,37.57666779,126.9558487
종로구,37.59512711,126.9634933
종로구,37.59725952,126.963089
종로구,37.60950089,126.9566803
종로구,37.60760117,126.9576874
종로구,37.56999207,126.9883423
종로구,37.58131409,127.0126801
종로구,37.56855774,126.9921188
종로구,37.5721817,126.9828339
종로구,37.58114624,126.9712372
종로구,37.58983612,126.9993439
